utterance,category
could i check what payment methods ya accept,PAYMENT
i dont know how to see how soon can i expect the article,DELIVERY
could i lodge a goddamn complaint against ur company,FEEDBACK
need help to check what delivery options ar available,DELIVERY
i want help changing my delivery address,SHIPPING_ADDRESS
want assistance checking the damn early exit charges,CANCELLATION_FEE
how could i inform of a damn error with online payments,PAYMENT
how can i see how long it takes for the parcel to arrive,DELIVERY
where to check how soon can I expect the bloody shipment?,DELIVERY
will you show me the goddamn compensatikon status?,REFUND
want assistance to switch something of order 00123842,ORDER
can you help mecanceling purchase 00123842?,ORDER
how to set a fucking different shipping addredss up?,SHIPPING_ADDRESS
where to make a goddamn consumer complaint,FEEDBACK
help me to write a cimment for ur services,FEEDBACK
help me seeing the fuckingwithdrawal penalties,CANCELLATION_FEE
i cannot set my secondary shipping adddress up,SHIPPING_ADDRESS
show me current status of purchase 732201349959,ORDER
check order 113542617735902 fucking current statsu,ORDER
i want assistance writing a review for ur company,FEEDBACK
i need assistance cancelling the goddamn order i made,ORDER
want help to lodge a customer complaint against your company,FEEDBACK
how could i get my money back,REFUND
how to check if there is anything new on my rebate?,REFUND
i have an issue setting another delivery address up,SHIPPING_ADDRESS
would itbe possible to buy a fucking product,ORDER
wanna correct purchase 732201349959 i need assistance,ORDER
need to see my goddamn compensation current status,REFUND
would it be possible to check ur money back guarantee,REFUND
I'm not happy with ur service could uhelp me to file a claim,FEEDBACK
I'm calling to sendfeedback for a product,FEEDBACK
i need help to solve a fucking problem with online payment,PAYMENT
where do I check the early exit penalty?,CANCELLATION_FEE
could I see what delivery options you offer?,DELIVERY
help me seeing purchase 113542617735902 curent status,ORDER
I can't change my bloody address,SHIPPING_ADDRESS
I need assistance to see yoru damn accepted payment methods,PAYMENT
I  need assistance to inform of issues with online payment,PAYMENT
can ya help me see ur money back guaranete,REFUND
i do not knowhow to see the current status of the refund,REFUND
i have to shop a goddamn item i need help,ORDER
I have chosen awrong bloody address,SHIPPING_ADDRESS
where do i shop a few of ur articl,ORDER
i have to change my shipping address,SHIPPING_ADDRESS
i have to write a comment for ur company,FEEDBACK
I don't know how I could see what shipping options I have,DELIVERY
need to see in which cases can i ask for the fucking refunds,REFUND
can uhelp me writing a comment for a servie,FEEDBACK
I can't afford order 732201349959,ORDER
i cant delete something from purchase 732201349959,ORDER
I cannot checkorder 113542617735902 current status,ORDER
i wanht help to order a few of ur product,ORDER
where could i check how soon can i expect the damn product,DELIVERY
i do not know how i can send some feedback about a service,FEEDBACK
report a trouble with payments,PAYMENT
want help seeing when will my item arrive,DELIVERY
ya have a way to leave some feedback about ur company,FEEDBACK
I'm trying to notify of issues with payments,PAYMENT
could you help me check the shipping methods?,DELIVERY
help asking fr a rebate of money,REFUND
i need information about editing my bloody delivery address,SHIPPING_ADDRESS
there is a problem updating the shipping address,SHIPPING_ADDRESS
want assistance requesting a refund of money,REFUND
can uhelp me reporting a  goddamn error with payments,PAYMENT
where could I check what fucking delivery opitons are there?,DELIVERY
could uhelp me to track my fucking refund,REFUND
can ya help me reporting a trouble with payment,PAYMENT
need help cancelling the goddamn purchase i have made,ORDER
i dont know what i have to do to place an order,ORDER
can i remove several products from purchase 732201349959,ORDER
i try to buy som bloody articles,ORDER
whereto list the allowed payment methods,PAYMENT
"I would like to cancel order 00004587345, how to do it ?",ORDER
can you help me see what bloody shipping options I have?,DELIVERY
I'd like to see the goddamn status of my refund,REFUND
i have got to purchase a goddamn product help me,ORDER
help me receive damn rebates of money,REFUND
how could I correct oredr 113542617735902?,ORDER
I'd like to cancel puechase 732201349959,ORDER
want help to remove some bloody articles from order 00123842,ORDER
i want help  checking when my package is gonna arrive,DELIVERY
where do i check when my item is gonna arrive,DELIVERY
could ya help me receive a restitution of my money,REFUND
could uhelp me notify of goddamn errors with payment,PAYMENT
what do i have to do to set up a goddamn delivery address,SHIPPING_ADDRESS
need help to lodge a consumer reclamation,FEEDBACK
is it possible to acquiresome bloody items?,ORDER
where can I check your damn reimbursement policy?,REFUND
help me seeing what delivery methods you offer,DELIVERY
I need assistance cancelling pourchase 113542617735902,ORDER
i need help to see if there are any news on my bloody refund,REFUND
why I cannot set up a different delivery address vald,SHIPPING_ADDRESS
could ya tell me about editing the fucking address,SHIPPING_ADDRESS
could I check in what cases can I request reimbursements?,REFUND
i need assistance to leave a comment about ur services,FEEDBACK
can ya help me edit the damn address,SHIPPING_ADDRESS
help to lodge a bloody reclamation against your organization,FEEDBACK
could uhelp me to lodge a claim against ur company,FEEDBACK
i dont know how i can shop several  articles,ORDER
can I locate order 00004587345?,ORDER
i want help getting a compensation,REFUND
want assistance to cancel the purchase i have made,ORDER
i cant locate purchase 00123842,ORDER
where can i lodge a bloody customer complaint,FEEDBACK
where could i write a fucking opinion about a service,FEEDBACK
how could i purchase several of ur article,ORDER
could ay help me make a claim against ur organization,FEEDBACK
how could i see how long it takes for the parcel to arrive,DELIVERY
can uhelp me filing a damn complaint against ur company,FEEDBACK
could uhelp me changing my deliveyr address,SHIPPING_ADDRESS
what do I need to do to list  your allowed payment methods?,PAYMENT
can uhelp me seeing if there are any updates on the rebate,REFUND
helpo me seeing in what cases can i request a damn refund,REFUND
I can't change the address,SHIPPING_ADDRESS
I do not knowhow I can cancel purchase 00004587345,ORDER
I'm looking for information about purchase cancelations,ORDER
could i swap an item of order 00123842,ORDER
i dont know how i could see what shipping options i have,DELIVERY
help seeing how soon can i expect my bloody item,DELIVERY
i need assistance to obtain a rebate of my money,REFUND
show me how long it takes for my goddamn prduct to arrive,DELIVERY
I need assistance seeing what shipment opgions I have,DELIVERY
want help to enter the secondary shipping address,SHIPPING_ADDRESS
i have got to check purchase 113542617735902 goddamn status,ORDER
assistance entering the damnnew delivery address,SHIPPING_ADDRESS
I need asistance to notify of payment problems,PAYMENT
anmy updates on my refund,REFUND
i do not know how i could receive fucking rebates,REFUND
have a problem with camceling order 370795561790,ORDER
I have got to report goddamn issues with online payment,PAYMENT
need help setting up a different edlivery address,SHIPPING_ADDRESS
i do not know how i can enter the goddamn shipping address,SHIPPING_ADDRESS
where can i see how long it takes for my article to arrive,DELIVERY
I want help cancelling order 00004587345,ORDER
help me to file a reclamation against ur business,FEEDBACK
help me seeing the early exit fee,CANCELLATION_FEE
is there a section to leave feedback for a service,FEEDBACK
how can i submit the delivery address,SHIPPING_ADDRESS
i need assistance with a delivery address change,SHIPPING_ADDRESS
could I place an order from Dublin?,DELIVERY
what is purchase 00123842 status?,ORDER
help to seewhat fucking payment methods you accept,PAYMENT
need to see how long it takes for my purhase to arrive,DELIVERY
I need assistance to see the status of order 370795561790,ORDER
what do i need to do to set up the shipping address,SHIPPING_ADDRESS
could I check your alloweds payment methods?,PAYMENT
how do I see what shipment methods are there ?,DELIVERY
I need assistance to see hte bloody rebate status,REFUND
i want help to see ur fucking accepted payment methods,PAYMENT
I don't know how I could inform of a payment issue,PAYMENT
I'm trying to check the early termination charge,CANCELLATION_FEE
can you help me to check the status of my refund?,REFUND
what do i have to do to see the termination penalty,CANCELLATION_FEE
I have to list yoru fucking allowed payment modalities,PAYMENT
I can't check the bloody status of purchase 370795561790,ORDER
i need help locating purchase 370795561790,ORDER
i have to receive a bloody compensation of money,REFUND
how to cancel order 00004587345?,ORDER
where to lodge a reclamation against ur business,FEEDBACK
want help seeing in what situations can i ask for a refund,REFUND
I'd like to cancel the lasst order i made,ORDER
would it be possible to see the methods for shipment,DELIVERY
how could I submit my bloody delivery address ?,SHIPPING_ADDRESS
I'm trying to acquire several of ur product,ORDER
want asistance to get refunds of my money,REFUND
i have got to check the bloody early termination penalty,CANCELLATION_FEE
could i see order 370795561790 status,ORDER
help me check when my bloody prcel is going to arrive,DELIVERY
i need help to cancel order 113542617735902,ORDER
wanna remove a product from order 732201349959,ORDER
need help to receive a bloody refund,REFUND
I have gog to check the early termination charges,CANCELLATION_FEE
help me making a customer claim against ur company,FEEDBACK
i have to ordersome bloody products how can i do it,ORDER
show me when my package is gonna arrive,DELIVERY
will ya tell me the available payment modalities,PAYMENT
i need assistance to check what payment methods are accepted,PAYMENT
need help seeing the refund current status,REFUND
how can i request a refund,REFUND
how do I check purchase 732201349959  goddamn status?,ORDER
check the goddamn rebate current statu,REFUND
I do not know what to do to report payment errors,PAYMENT
cold uhelp me leaving some feedback,FEEDBACK
I do not know how to ask for rebates,REFUND
see order 113542617735902 tsatus,ORDER
do you have an address to send fedback for your products?,FEEDBACK
hel me check in which cases can I ask for a goddamn refund,REFUND
I'd like to inform of errors with online payment,PAYMENT
can i see if there is anything new on my bloody rebate,REFUND
"I have got to see my compensatino status, I need help",REFUND
I need help to report bloody probelms with payments,PAYMENT
i have to see how soon can i expect my parcel,DELIVERY
help to see under what circumstances cani request refunds,REFUND
I'm trying to check the early exit charges,CANCELLATION_FEE
need to check in which cases can i ask to be reimbursed,REFUND
could you help me list your available  payment options?,PAYMENT
I'm trying to notify of fucking payment problems,PAYMENT
need help seeing hows soon can I expect my delivery,DELIVERY
want help to see thew ETA of purchase 00123842,ORDER
I don't know how to see your payment options,PAYMENT
i cannot see the bloody status of my rebate,REFUND
I have to list the allowed payment methods,PAYMENT
could uhelp me demand fucking compensations of money,REFUND
want assistance purchasing a few of your product,ORDER
need help to see the damn accepted pamyent modalities,PAYMENT
i do not know how to switch several items of order 00123842,ORDER
i want help to cancel a damn purchase imade,ORDER
I am calling to make an reclamation,FEEDBACK
i need help to see the damn payment methods,PAYMENT
need assistance locatiing purchase 113542617735902,ORDER
"I have to see your bloody refund policy,how can I do it?",REFUND
wanna change order 370795561790,ORDER
wanna know about modifying my goddamn shipping address,SHIPPING_ADDRESS
i have errors trying to edit my damn shipping address,SHIPPING_ADDRESS
i have got to notify of troubles with payments,PAYMENT
troubles entering the new shipping address,SHIPPING_ADDRESS
want help to purchase several of ur item,ORDER
i expecta reimbursement of $160,REFUND
how to lodge a bloody reclamation against ur organization,FEEDBACK
wannaset the new delivery address up how to do it,SHIPPING_ADDRESS
want supports updating my shipping address,SHIPPING_ADDRESS
i want help checking the reimbursement status,REFUND
I'd like to see ur accepted payment methods i need help,PAYMENT
i have to enter my new delivery address,SHIPPING_ADDRESS
wanna see the goddamn status of purchase 113542617735902,ORDER
do uhave a method to send a goddamn oppinion for ur products,FEEDBACK
i want help ordering several products,ORDER
i do not know how to see wha delivery methods ya offer,DELIVERY
is it possible to write a review for ur services,FEEDBACK
I'm waiting for a damn  refund of 160 dollars,REFUND
can uhelp me to make a purchase,ORDER
i want assistance to correct my fucking address,SHIPPING_ADDRESS
help to file a fucking consumer complaint against ur company,FEEDBACK
see how long the fucking refunds take,REFUND
could i check how soon can i expect the fucking item,DELIVERY
i want help to make a bloody complaint,FEEDBACK
i have to check the withdrawal charge can i get some help,CANCELLATION_FEE
i need assistance cancelling order 00123842,ORDER
cojld ya help me to buy several items,ORDER
want assistance informing of a problem with payment,PAYMENT
where can i leave feedback about a service,FEEDBACK
czn ushow me in which cases can i request a goddamn refund,REFUND
can utell me more about updating my delivery address,SHIPPING_ADDRESS
I am tring to check the ETA of purchase 732201349959,ORDER
my card was declined inform of bloody issues with payments,PAYMENT
how to file a claim,FEEDBACK
how do i se how soon can i expect my damn parcel,DELIVERY
need to check the termination fee how can i do it,CANCELLATION_FEE
how can i logde a goddamn customer complaint,FEEDBACK
i do not know how i can check the status of the refund,REFUND
need help with cancelling my order,ORDER
I do not know how I can buy some of yoour item,ORDER
i dont want a purchase i made i have to cancel the order,ORDER
wanna set a secondary delivery address up will ya help me,SHIPPING_ADDRESS
I need supports updating the damn depivery address,SHIPPING_ADDRESS
i dont know how to report an issue with payments,PAYMENT
can uhelp me to see how soon can i expect my fucking article,DELIVERY
i want help seeing ur allowed payment methods,PAYMENT
want help cancelling the last order,ORDER
i have to check the bloody cancellation fees,CANCELLATION_FEE
wanna enter the new shipping address will uhelp me,SHIPPING_ADDRESS
want help changing the bloody delivery address,SHIPPING_ADDRESS
want assistance to see how soon can i expect my package,DELIVERY
want help seeing the ETA of order 113542617735902,ORDER
i need help to leave my fedback,FEEDBACK
how to see when my goddamn delivery is gonna arrive,DELIVERY
"I paid $299 for these items, want help getting a rebate",REFUND
would iit be possible to see the accepted payment methods?,PAYMENT
need to correct purchase 00123842 how to do it,ORDER
want help to modify order 370795561790,ORDER
I'd like to see purchase 00123842 status how to do it,ORDER
what do i have to do to see the bloody withdrawal penalties,CANCELLATION_FEE
how to inform of a bloody issue with payments,PAYMENT
i call to leave my feedback about a service,FEEDBACK
how could i see the damn early exit fee,CANCELLATION_FEE
is there a address to submit bloody feedback about a product,FEEDBACK
assistance checking in what cases can i ask for a refund,REFUND
how do i see thd eta of order 00004587345,ORDER
where do I  see how soon can I expect the purchase?,DELIVERY
need to edit the fucking shipping address how to do it,SHIPPING_ADDRESS
I want help tl check the early termination charges,CANCELLATION_FEE
need help submitting my secondary delivery address,SHIPPING_ADDRESS
want assistance seeing the cancellation penalty,CANCELLATION_FEE
have a problem with canceling an order,ORDER
i have made a mistake help to modify purchase 00123842,ORDER
where could i check the bloody termination charge,CANCELLATION_FEE
i do not know how i can ask for refunds of money,REFUND
I have got to check the compensation status,REFUND
I do not know how to cancel my purchase,ORDER
can uhelp me seeing the statys of purchase 00004587345,ORDER
where do I set my damn new shipping address up?,SHIPPING_ADDRESS
check your allowed payment modalities,PAYMENT
how do i see how long it takes for my item to arrive,DELIVERY
i have got to report a damn issue with online payment,PAYMENT
help trying to modify my fucking address,SHIPPING_ADDRESS
need assistance lodging a damn customer claim,FEEDBACK
I want assistance solving troubles with online payment,PAYMENT
need assistance checkingmy reimbursement status,REFUND
where do i inform of problems with online payments,PAYMENT
I want assistance to check ym refund status,REFUND
could you help me filing a complaint?,FEEDBACK
i dont know how to file a claim,FEEDBACK
i have got to see the goddamn status of the rebate,REFUND
I have a trouble submitting a delivery address,SHIPPING_ADDRESS
i have got to inform of errors with payments,PAYMENT
can uhelp me check what bloody shipmment methods uoffer,DELIVERY
i need assistance solving problems with payments,PAYMENT
is it possible to cancle my last order?,ORDER
can ya help me check ur bloody payment opgions,PAYMENT
what od i need to do to leave an opinion about a product,FEEDBACK
i have got to demand compensations of money,REFUND
thbere is an error entering the bloody delivery address,SHIPPING_ADDRESS
i try to check  the payment modalities,PAYMENT
need assistance to send goddamn feedback,FEEDBACK
I'd like to receive a compensation of my money,REFUND
want help demanding restitutionsof my money,REFUND
i chose a wrong address by mistake how can i update it,SHIPPING_ADDRESS
I have got to check the methods for shipping,DELIVERY
can you show me the fucking status of my restitution?,REFUND
can you show me how soon can I expect my product?,DELIVERY
how to obtain rebates,REFUND
I'm waiting for an restitution of 299 dollars,REFUND
i have errors entering a new delivery address,SHIPPING_ADDRESS
help checking when my purchase is gonna arrive,DELIVERY
help me to acquire a product,ORDER
wanna know about correcting my fucking address,SHIPPING_ADDRESS
issues entering my secondary shipping addresas,SHIPPING_ADDRESS
could you help me seeing order 00004587345 current status ?,ORDER
can you help me listing your allowed payment mthods?,PAYMENT
could i see how soon can i expect my bloody package,DELIVERY
i need help canceling oirder 113542617735902,ORDER
how can I see the options for shipping?,DELIVERY
can ushow me what fucking shipment methods uoffer,DELIVERY
need help to know if there are any updates on the rebate,REFUND
could ya help me see what bloody shipping methods i have,DELIVERY
how to updae order 113542617735902,ORDER
i try to see how long the edlivery takes,DELIVERY
can i see the avaailable payment modalities,PAYMENT
i have a question about cancelling purchqse 113542617735902,ORDER
can you help me to acquire some rpoducts?,ORDER
what do I have to do to check your bloody money back policy?,REFUND
need help submitting my feedback about your company,FEEDBACK
i try to check what damn shipping metrhods are available,DELIVERY
can I ese the ETA of purchase 00004587345?,ORDER
can you help me to cancel a goddamn order I havr made?,ORDER
how to check when will my product arrive ?,DELIVERY
I'm trying to report fucking errors with payments,PAYMENT
I need help leaving my feedback for your services,FEEDBACK
I need help to check the bloody aailable payment methods,PAYMENT
i cant remove some artiles from purchase 732201349959,ORDER
i have got to order several bloody products,ORDER
help me check in what situations can i ask to be reimbursed,REFUND
would it be possible to purchase several products ?,ORDER
I'm trying to make a consumer reclamation,FEEDBACK
could uhelp me setting another delivery address up,SHIPPING_ADDRESS
help me see what shipping methods you offer,DELIVERY
could you help me to see your goddamn reimbursement policy?,REFUND
need assistance cancelling the bloody purchase i have made,ORDER
what do i have to do to modify my address,SHIPPING_ADDRESS
help me making a fucking erclamation against ur organization,FEEDBACK
can uhelpme check ur payment options,PAYMENT
want assistance notifying of troubles with payments,PAYMENT
I try to check the aerly exit charges,CANCELLATION_FEE
i need help informing of a damn issue with payment,PAYMENT
how to deletesome items from order 370795561790,ORDER
could i see the status of purchase 113542617735902,ORDER
I have to set my shipoing address up,SHIPPING_ADDRESS
wanna check how long it usually takes for my order to rarive,DELIVERY
can ya help me lodging a complaint against ur company,FEEDBACK
I want supports correcting my goddamn delivery address,SHIPPING_ADDRESS
wanna add a product to purchase 00123842 how can i do it,ORDER
"I need to track the compensationn, can you help me?",REFUND
can uhelp me to leave my fucking feedback for a service,FEEDBACK
I need help submittng the secondary delivery address,SHIPPING_ADDRESS
wat help to check what damn delivery options you offer,DELIVERY
i need help purchasing some of ur product,ORDER
is it possible to list the available payment modalities?,PAYMENT
wanna write a damn opinion about ur company,FEEDBACK
I don't know how I can write a review for a product,FEEDBACK
i dont know how to check the bloody cancellation fees,CANCELLATION_FEE
I'd like to checkur accepted payment options will uhelp me,PAYMENT
wanna modify my bloody address could uhelp me,SHIPPING_ADDRESS
want help to file a damn reclamatin against ur organization,FEEDBACK
wanna write a fucking review about a service can uhelp me,FEEDBACK
"I hazve to correct the delivery address, how do I do it?",SHIPPING_ADDRESS
I'd like to check the withdrawal penalty i need assistance,CANCELLATION_FEE
how can i locate order 00004587345,ORDER
wanna check how long reimbursements take could ya help me,REFUND
need help seeing the bloody current status of my rebate,REFUND
i ordered something i need to cancel the second purchase,ORDER
help me see if there is anything new on the damn rebate,REFUND
i need help writing a bloody review for ur services,FEEDBACK
I nered support updating the damn address,SHIPPING_ADDRESS
i want assistance to cancel order 00004587345,ORDER
how do i check the termination penalties,CANCELLATION_FEE
i want help to update order 113542617735902,ORDER
i can no longer pay for order 113542617735902 can ucancel it,ORDER
could ya help me checvking ur accepted payment modalities,PAYMENT
is it possbile to order some of ur article,ORDER
can I switch an article of  order 370795561790?,ORDER
when can I expect a damn rebate of money,REFUND
will ya show me ur damn available payment methods,PAYMENT
can ya tell me more about a shipping address update,SHIPPING_ADDRESS
want help correcting purchase 00123842,ORDER
i need help to edit the address,SHIPPING_ADDRESS
how to file a complaint against your company ?,FEEDBACK
showing current status of rebate,REFUND
i have a problem submitting my secondary delivery address,SHIPPING_ADDRESS
i want assistance to send feedback for a service,FEEDBACK
help me to see what payment options are accepted,PAYMENT
i need assistance to see the eta of the purchase 00123842,ORDER
how to demand a reimbuesement?,REFUND
i want help seeing the eta of order 00004587345,ORDER
where can i cancel an order,ORDER
wanna purchase an article how could i do it,ORDER
i do not know what to do to correct my address,SHIPPING_ADDRESS
my card was declined how could i report a payment issue,PAYMENT
would itbe possible to leave a goddamn review for a service?,FEEDBACK
where can I get a goddamn restitution of money?,REFUND
can uhelp me shop something,ORDER
can ya help me reporting problems with online payment,PAYMENT
wanna notify of goddamn troubles with online payments,PAYMENT
where to see the payment modalities,PAYMENT
i need assistance asking for a rebate of money,REFUND
is it possible to see the bloody withdrawal chargr,CANCELLATION_FEE
could i lodge a customer reclamation against ur organization,FEEDBACK
can ya help me to edit order 00123842,ORDER
need assistance to order a few of your item,ORDER
need to edit the shipping address how to do it,SHIPPING_ADDRESS
assistance to obtain a reimbursement,REFUND
where can i get information about canceling goddamn orders,ORDER
I try to check the status of order 113542617735902,ORDER
i have to acquire some of ur product will uhelp me,ORDER
how can i ask for bloody refunds,REFUND
can uhelp  me to solve troubles with online payments,PAYMENT
where can i see when will my purchase arrive,DELIVERY
can ya help me order several items,ORDER
i have got to leave my efedback for a service how to do it,FEEDBACK
I want assistance trying to modify my fucking address,SHIPPING_ADDRESS
hhelp me to check the eta of the order 732201349959,ORDER
need to check what delivery options ya offer,DELIVERY
I need help submitting feedback about your company,FEEDBACK
want help adding some products to purchase 00123842,ORDER
I'd like to inform of damn issues with payment,PAYMENT
need help updating purchase 732201349959,ORDER
where could I see what delivery options are there ?,DELIVERY
how can i submit some goddamn feedback for ur products,FEEDBACK
list ur accepted payment options,PAYMENT
I can't change thebloody address,SHIPPING_ADDRESS
i dont know what i need to do to see ur payment modalities,PAYMENT
how to enter another fucking shipping address,SHIPPING_ADDRESS
i have an issue submitting my delivery address,SHIPPING_ADDRESS
how oculd I see when my shipment is going to arrive?,DELIVERY
I am trying to check what delivery options are there,DELIVERY
I want t check in which cases can I ask for refunds,REFUND
need help seeing what fucking shipping methods I have,DELIVERY
there is an erroe editing the damn delivery address,SHIPPING_ADDRESS
problem with canceling the last fucking order i made,ORDER
I'm dissatisfied with ur work help me make a claim,FEEDBACK
i have troubles modifying my shipping address,SHIPPING_ADDRESS
can ya help me to check the ETA of order 370795561790,ORDER
I have got to make a bloody consumer complanit,FEEDBACK
i try to earn some products,ORDER
help me see under what circumstances can i request refunds,REFUND
could i list the bloody allowed payment modalities,PAYMENT
I'm calling to make a goddamn complaint,FEEDBACK
i dont know how i can edit my damn shipping address,SHIPPING_ADDRESS
i need help to receive fucking compensations,REFUND
i want assistance sending bloody feedback for ur company,FEEDBACK
wanna see what payment methods are available help me,PAYMENT
where could i set a new delivery address up,SHIPPING_ADDRESS
how to report a fucking trouble with payment,PAYMENT
i have got to check the payment methods i need ehlp,PAYMENT
help to check the eta of the order 00123842,ORDER
i want help lodging a consumer complaint,FEEDBACK
could uhelp mee changing purchase 370795561790,ORDER
how do I see the allowed payment modalities ?,PAYMENT
I'd like to check how soon can i expect the shipment help me,DELIVERY
i have to correct purchase 113542617735902 how could i do it,ORDER
where to acquire some articles ?,ORDER
do you have an e-mail to send feedback for an service?,FEEDBACK
I am trying to check how soon can I expect my package,DELIVERY
i try to usbmit damn feedback for ur services,FEEDBACK
I'd like to set up my new shipping address help me,SHIPPING_ADDRESS
wanna see what shipping options are there how can i do it,DELIVERY
i want help solving problems with online payment,PAYMENT
i bought something could uhelp me canceling the last order,ORDER
how can i remove a bloody article from order 00004587345,ORDER
could ya help me buying a few of ur article,ORDER
how do i make a damn reclamation,FEEDBACK
want help to check the early termination charge,CANCELLATION_FEE
how can i see when my damn preoduct is gonna arrive,DELIVERY
can ugive me inforemation about purchase cancelations,ORDER
I want supports modifying my delivery address,SHIPPING_ADDRESS
how can i acquire some damn produccts,ORDER
i have got to modify order 732201349959 how do i do it,ORDER
i dont knwo what to do to shop some articles,ORDER
i try to switch osme bloody articles of order 370795561790,ORDER
i have to see the early termination penalty will uhelp me,CANCELLATION_FEE
my transaction was declined help reporting payment problems,PAYMENT
wanna leave feedback for ur products how could i do it,FEEDBACK
assistance to check ur allowed payment options,PAYMENT
I want assistance to submit feedback about a service,FEEDBACK
could you show me order 732201349959 status?,ORDER
i need help to see how soon can i expect my damn order,DELIVERY
want assistance seeinb the allowed payment methods,PAYMENT
I'm trying to find information about order cancellations,ORDER
need to set my new shipping address up,SHIPPING_ADDRESS
I need help to send my goddamn feedback for your rpoducts,FEEDBACK
can uhelp me to correct my shipping address,SHIPPING_ADDRESS
"I chose an wrong delivery address, can you edit it?",SHIPPING_ADDRESS
assistance to see in what situations can i request refunds,REFUND
wanna see how long refunds usually take help me,REFUND
can uhelp me to check in which cases can i request refunds,REFUND
how do i see the goddamn status of purcchase 370795561790,ORDER
i dont know how i could change the shipping address,SHIPPING_ADDRESS
I try to update the shipping address,SHIPPING_ADDRESS
help me tl see in what situations can i ask to be reimbursed,REFUND
is it possible to see in which cases can I ask for a refund?,REFUND
want assistance informing of problems with payment,PAYMENT
help reporting troubles with payment,PAYMENT
i dont know what to do to request a refund of my money,REFUND
i have got to check what payment options are allowed help me,PAYMENT
how could i modify order 732201349959,ORDER
where to see the termination charge,CANCELLATION_FEE
could ya show me how soon can i expect my bloody product,DELIVERY
help tgo send fucking feedback,FEEDBACK
problem with canceling order 370795561790,ORDER
i need help to purchasesome fucking articles,ORDER
wanna check ur bloody reimbursement policy,REFUND
want support trying to edit the adrdess,SHIPPING_ADDRESS
help me cancel the last fucking purchasee,ORDER
can uhelp me to check the termination fee,CANCELLATION_FEE
what do i need to do to see what delivery  methods i have,DELIVERY
what do I need to do to check the goddamn shipping mwthods?,DELIVERY
I don't know what to do to see the shipping opions,DELIVERY
how could I see what shipment methods are there?,DELIVERY
i have got to see the bloody early termination fees,CANCELLATION_FEE
want  assistance cancelling a damn purchase,ORDER
i have got to check how soon can i expect the purchase,DELIVERY
need to update the bloody shipping address,SHIPPING_ADDRESS
i have got to see if there are any updates on my refund,REFUND
i do not know how to see the damn delivery options,DELIVERY
show me under what circumstances can i request refunds,REFUND
i havew to delete some articles from order 00004587345,ORDER
can I lodge a bloody claim against your organizaation?,FEEDBACK
need hyelp cancelling purchase 00004587345,ORDER
i dont know what to do to check the termination charges,CANCELLATION_FEE
need to check the methods for shipment,DELIVERY
want assistance to earn several articles,ORDER
i try to modify th damn address,SHIPPING_ADDRESS
need help to check the fucking termination fees,CANCELLATION_FEE
I can't updaate my damn shipping address,SHIPPING_ADDRESS
I need help submitting my damn feedback about a product,FEEDBACK
"I want to submit fedeback for your company, I need help",FEEDBACK
I do not know what to do to buy a damn article,ORDER
wher can i see what delivery options are available,DELIVERY
i want help leaving a damn review for ur products,FEEDBACK
i need assistance to check the cancellation fee,CANCELLATION_FEE
need to check when my order is gonna arrive how can i do it,DELIVERY
I'm dissatisfied with ur service how to make a claim,FEEDBACK
want help to cancel the purchase I have made,ORDER
how can I earn several products?,ORDER
can ya help me to check tthe delivery methods,DELIVERY
I want assistance to correct the damn shipping addres,SHIPPING_ADDRESS
need help to check in which cases can I request refunds,REFUND
would it be possible to send some feedback for a product,FEEDBACK
i want help tocheck ur refund policy,REFUND
what do i need to do to buy a fucking product,ORDER
I want to file a fucking complaint against your business,FEEDBACK
i cannot afford this purchase help canceling order 00123842,ORDER
wanna see the damn payment modalities can ya help me,PAYMENT
i dont know how to get fucking rebates of money,REFUND
could uherlp me receive refunds,REFUND
i need asistance writing a damn comment for ur company,FEEDBACK
want assistance to see how soon can I expect my shipment,DELIVERY
how could i track order 00123842,ORDER
show me the cancellation fee,CANCELLATION_FEE
I do not know what I have to do to do an purchase,ORDER
I'd like to check the payment methods,PAYMENT
i want assistance to check the shipping options,DELIVERY
help seeing  in what cases can I ask for my money back,REFUND
help me see the ETA of the order 113542617735902,ORDER
I am trying to check the ETA of the order 732201349959,ORDER
i have an issue editing the shbipping address,SHIPPING_ADDRESS
what do i have to do to obtain a compensation of money,REFUND
I want assistance tomodify the delivery address,SHIPPING_ADDRESS
i do not know what to do to do a damn pourchase,ORDER
how  to see your bloody payment methods?,PAYMENT
can  you help me make an order?,ORDER
i paid $299 for a purchase where could i get a damn rebate,REFUND
I am looking for bloody shipping period,DELIVERY
I want to check the methods for deliveryu,DELIVERY
want assistance to ldge a complaint against ur business,FEEDBACK
wanna see the status of order 00123842  how can i do it,ORDER
can i lodge a goddamn claim against ur organization,FEEDBACK
could uhelp me checking ur accepted payment options,PAYMENT
need assistnace purchasing a goddamn item,ORDER
need to see how long the fucking reimbursements take,REFUND
i need help to see order 370795561790 status,ORDER
hlp me to make a damn reclamation against your business,FEEDBACK
i do not know how to see the fucking early exit fees,CANCELLATION_FEE
i dont know how i could chec the early exit fees,CANCELLATION_FEE
problem with canceling the purchase I made,ORDER
is there an e-mail to send a bloody comment for ur company,FEEDBACK
i apid $1200 for an item help me receiving a rebate,REFUND
how can i check the ETA of purchase 00004587345,ORDER
i need help to notify of errors with payment,PAYMENT
could i see the current status of the erfund,REFUND
